address,bath,bedrooms,borough,extra,nearest_subway,neighborhood,rent,sqft,median_income,percent_high_earner,zipcode,Cats_Allowed,Elevator,No_Fee,Dogs_Allowed,Laundry_In_Building,Doorman,Gym,Dishwasher,Hardwood_Floors,Renovated,Common_Outdoor_Space,High_Ceilings,Laundry_In_Unit,Granite_Kitchen,Marble_Bath,Parking,Pre_War,Valet,Eat_In_Kitchen,Walk_In_Closet,Deck,Lounge,Concierge,Storage_Facility,High_Speed_Internet,Studio,Brooklyn,Manhattan,Queens
374 West 46th Street,1.0,1,Manhattan,"['Dogs Allowed', 'Cats Allowed', 'Common Outdoor Space', 'Roof Deck']",0.25,Hell's Kitchen,2450,570,93707.0,19.8,10036.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
445 West 36th Street,1.0,1,Manhattan,[],0.25,Hell's Kitchen,1950,0,93707.0,19.8,10036.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
540 West 47th Street,1.0,1,Manhattan,"['No Fee', 'Reduced Fee', 'Cats Allowed']",0.47,Hell's Kitchen,2250,0,93707.0,19.8,10036.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
W 43rd St,2.0,2,Manhattan,"['Laundry In Building', 'Heat And Hot Water Included', 'Lounge', 'Hardwood Floors', 'Childrens Playroom', 'Roof Deck', 'Washerdryer', 'Central Air', 'Package Acceptance', 'Dishwasher', 'Patio', 'No Fee', 'Pets', 'Microwave', 'Guarantor Accepted', 'Bike Storage', 'Gym', 'Renovated', 'Parking']",0.41,Hell's Kitchen,5175,0,93707.0,19.8,10036.0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
540 West 47th Street,1.0,1,Manhattan,"['No Fee', 'Reduced Fee', 'Cats Allowed']",0.47,Hell's Kitchen,2250,0,93707.0,19.8,10036.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
445 West 36th Street,1.0,1,Manhattan,[],0.25,Hell's Kitchen,1950,0,93707.0,19.8,10036.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
W 43rd St,2.0,2,Manhattan,"['Laundry In Building', 'Heat And Hot Water Included', 'Lounge', 'Hardwood Floors', 'Childrens Playroom', 'Roof Deck', 'Washerdryer', 'Central Air', 'Package Acceptance', 'Dishwasher', 'Patio', 'No Fee', 'Pets', 'Microwave', 'Guarantor Accepted', 'Bike Storage', 'Gym', 'Renovated', 'Parking']",0.41,Hell's Kitchen,5175,0,93707.0,19.8,10036.0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
W 43rd St,2.0,2,Manhattan,"['Laundry In Building', 'Heat And Hot Water Included', 'Lounge', 'Hardwood Floors', 'Childrens Playroom', 'Roof Deck', 'Washerdryer', 'Central Air', 'Package Acceptance', 'Dishwasher', 'Patio', 'No Fee', 'Pets', 'Microwave', 'Guarantor Accepted', 'Bike Storage', 'Gym', 'Renovated', 'Parking']",0.41,Hell's Kitchen,5175,0,93707.0,19.8,10036.0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
W 43rd St,2.0,2,Manhattan,"['Laundry In Building', 'Heat And Hot Water Included', 'Lounge', 'Hardwood Floors', 'Childrens Playroom', 'Roof Deck', 'Washerdryer', 'Central Air', 'Package Acceptance', 'Dishwasher', 'Patio', 'No Fee', 'Pets', 'Microwave', 'Guarantor Accepted', 'Bike Storage', 'Gym', 'Renovated', 'Parking']",0.41,Hell's Kitchen,5175,0,93707.0,19.8,10036.0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
West 42rd Street,2.0,3,Manhattan,"['No Fee', 'Elevator', 'Laundry In Building', 'Dogs Allowed', 'Reduced Fee', 'Cats Allowed', 'Doorman', 'Common Outdoor Space', 'Laundry In Unit', 'Gym']",0.23,Hell's Kitchen,4615,0,93707.0,19.8,10036.0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
