address,bath,bedrooms,borough,extra,nearest_subway,neighborhood,rent,sqft,median_income,percent_high_earner,zipcode
East 22nd Street,1.0,1,Manhattan,"['Terrace', 'Cats Allowed', 'Featured', 'Outdoor Space', 'Dishwasher', 'Light', 'Common Outdoor Space', 'Diplomats Ok', 'Laundry In Building', 'Duplex', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Doorman', 'Storage', 'Marble Bath', 'Elevator', 'Subway', 'Laundry In Unit', 'Concierge', 'No Fee', 'Laundry in Unit', 'Valet', 'Renovated', 'High Speed Internet', 'Hardwood Floors', 'City View']",0.26,Gramercy Park,3550,0,104441.0,26.8,10003.0
160 East 23rd Street,2.0,3,Manhattan,"['Laundry in Unit', 'Laundry In Unit', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.17,Gramercy Park,8000,0,104441.0,26.8,10003.0
18th St Bed 1st and 2nd Ave,1.0,2,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Private Outdoor Space', 'Laundry In Unit', 'No Fee']",0.21,Gramercy Park,4334,0,104441.0,26.8,10003.0
18th St Bed 1st and 2nd Ave,1.0,2,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Private Outdoor Space', 'Laundry In Unit', 'No Fee']",0.21,Gramercy Park,4334,0,104441.0,26.8,10003.0
18th St Bed 1st and 2nd Ave,1.0,2,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Private Outdoor Space', 'Laundry In Unit', 'No Fee']",0.21,Gramercy Park,4334,0,104441.0,26.8,10003.0
 East 18th Street,1.0,1,Manhattan,"['Short Term Allowed', 'Furnished']",0.21,Gramercy Park,4500,0,104441.0,26.8,10003.0
East 19th Street,1.0,3,Manhattan,['Featured'],0.26,Gramercy Park,4050,0,104441.0,26.8,10003.0
345 East 16 Street,1.0,2,Manhattan,"['Storage Facility', 'Dining Room', 'concierge Laundry in Building', 'Cats Allowed', 'Featured', 'Loft', 'High Speed Internet', 'Fitness Center', 'Dogs Allowed', 'Roof Deck', 'Dishwasher', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Hardwood Floors', 'Laundry In Building']",0.15,Gramercy Park,3400,0,104441.0,26.8,10003.0
345 East 16 Street,1.0,2,Manhattan,"['Storage Facility', 'Dining Room', 'concierge Laundry in Building', 'Cats Allowed', 'Featured', 'Loft', 'High Speed Internet', 'Fitness Center', 'Dogs Allowed', 'Roof Deck', 'Dishwasher', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Hardwood Floors', 'Laundry In Building']",0.15,Gramercy Park,3400,0,104441.0,26.8,10003.0
East 19th Street ,1.0,2,Manhattan,"['Cats Allowed', 'Dogs Allowed', 'Featured']",0.27,Gramercy Park,2875,0,104441.0,26.8,10003.0
E 18th St bet 1st and 2nd Ave,1.0,2,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Dogs Allowed', 'Laundry In Unit', 'No Fee']",0.21,Gramercy Park,4150,0,104441.0,26.8,10003.0
E 18th St bet 1st and 2nd Ave,1.0,2,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Dogs Allowed', 'Laundry In Unit', 'No Fee']",0.21,Gramercy Park,4150,0,104441.0,26.8,10003.0
Park Avenue South,1.0,1,Manhattan,"['Featured', 'Furnished', 'Doorman', 'Subway', 'Elevator', 'Renovated', 'Light', 'Hardwood Floors', 'Laundry In Building', 'Microwave']",0.01,Gramercy Park,3000,0,104441.0,26.8,10003.0
East 18th Street,2.0,2,Manhattan,"['Terrace', 'Dining Room', 'Garage', 'High Ceilings', 'Walk In Closet', 'Doorman', 'City View', 'Virtual Doorman', 'Dishwasher', 'Elevator', 'Light', 'Hardwood Floors', 'Laundry In Building']",0.21,Gramercy Park,6000,0,104441.0,26.8,10003.0
East 18th Street,2.0,2,Manhattan,"['Terrace', 'Dining Room', 'Garage', 'High Ceilings', 'Walk In Closet', 'Doorman', 'City View', 'Virtual Doorman', 'Dishwasher', 'Elevator', 'Light', 'Hardwood Floors', 'Laundry In Building']",0.21,Gramercy Park,6000,0,104441.0,26.8,10003.0
102 East 22nd Street,1.0,3,Manhattan,"['New Construction', 'Bicycle Room', 'Pied A Terre', 'Hardwood Floors', 'High Ceilings', 'Storage', 'Elevator', 'Light', 'Laundry In Building', 'Exclusive']",0.05,Gramercy Park,4500,0,104441.0,26.8,10003.0
102 East 22nd Street,1.0,3,Manhattan,"['New Construction', 'Bicycle Room', 'Pied A Terre', 'Hardwood Floors', 'High Ceilings', 'Storage', 'Elevator', 'Light', 'Laundry In Building', 'Exclusive']",0.05,Gramercy Park,4500,0,104441.0,26.8,10003.0
336 East 18th Street,1.0,2,Manhattan,"['Cats Allowed', 'Outdoor Space', 'Dishwasher', ' Garden/patio', 'Diplomats Ok', 'Laundry In Building', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Marble Bath', 'Microwave', 'Laundry In Unit', 'Pre-war', 'No Fee', 'Pre-War', 'Laundry in Unit', 'Brownstone', 'Renovated', 'Light', 'Hardwood Floors']",0.21,Gramercy Park,4295,0,104441.0,26.8,10003.0
E 20 Street ,2.0,4,Manhattan,"['Cats Allowed', 'Featured', 'Dogs Allowed', 'Huge Apartment', 'Doorman', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.3,Gramercy Park,5050,0,104441.0,26.8,10003.0
E 16,1.0,2,Manhattan,"['Dining Room', 'Cats Allowed', 'Featured', 'Walk In Closet', 'Dishwasher', 'Light', 'Common Outdoor Space', 'Laundry In Building', 'Diplomats Ok', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Storage', 'Marble Bath', 'Storage Facility', 'Elevator', 'Lounge', 'Subway', 'Bicycle Room', 'Garage', 'Loft', 'Fitness Center', 'Pre-war', 'Concierge', 'No Fee', 'Business Center', 'Pre-War', 'Renovated', 'High Speed Internet', 'Hardwood Floors', 'Virtual Doorman']",0.17,Gramercy Park,3500,0,104441.0,26.8,10003.0
E 15,1.0,2,Manhattan,"['Dining Room', 'Cats Allowed', 'Featured', 'Walk In Closet', 'Dishwasher', 'Common Outdoor Space', 'Diplomats Ok', 'Laundry In Building', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Storage', 'Marble Bath', 'Storage Facility', 'Elevator', 'Lounge', 'Subway', 'Bicycle Room', 'Garage', 'Loft', 'Fitness Center', 'Pre-war', 'Concierge', 'No Fee', 'Business Center', 'Pre-War', 'Eat In Kitchen', 'Renovated', 'Light', 'Hardwood Floors', 'Virtual Doorman']",0.09,Gramercy Park,3400,0,104441.0,26.8,10003.0
E 15,1.0,2,Manhattan,"['Dining Room', 'Cats Allowed', 'Featured', 'Walk In Closet', 'Dishwasher', 'Common Outdoor Space', 'Diplomats Ok', 'Laundry In Building', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Storage', 'Marble Bath', 'Storage Facility', 'Elevator', 'Lounge', 'Subway', 'Bicycle Room', 'Garage', 'Loft', 'Fitness Center', 'Pre-war', 'Concierge', 'No Fee', 'Business Center', 'Pre-War', 'Eat In Kitchen', 'Renovated', 'Light', 'Hardwood Floors', 'Virtual Doorman']",0.09,Gramercy Park,3400,0,104441.0,26.8,10003.0
E 19,2.0,2,Manhattan,"['Private Outdoor Space', 'Doorman', 'No Fee', 'Elevator', 'Laundry In Building']",0.26,Gramercy Park,5995,0,104441.0,26.8,10003.0
East 18 Street,2.0,3,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Garden/Patio', 'Dogs Allowed', 'Outdoor Space', 'Dishwasher', 'No Fee', 'Floorplans Available', 'Hardwood Floors']",0.21,Gramercy Park,5300,0,104441.0,26.8,10003.0
354 East 15 St,1.0,2,Manhattan,"['Storage Facility', 'Dining Room', 'Cats Allowed', 'High Speed Internet', 'concierge', 'Fitness Center', 'Dogs Allowed', 'Dishwasher', 'No Fee', 'Floorplans Available', 'Elevator', 'Common Outdoor Space', 'Hardwood Floors', 'Laundry In Building']",0.1,Gramercy Park,3400,0,104441.0,26.8,10003.0
354 E 15 Street,1.0,3,Manhattan,"['Storage Facility', 'Dining Room', 'Cats Allowed', 'Wheelchair Access', 'Hardwood Floors', 'concierge', 'Garden/Patio', 'Fitness Center', 'Dogs Allowed', 'Outdoor Space', 'Dishwasher', 'Laundry in Building', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.1,Gramercy Park,3800,0,104441.0,26.8,10003.0
Gramercy,1.0,Loft,Manhattan,"['Doorman', 'Elevator', 'Laundry In Building', 'Fitness Center']",0.26,Gramercy Park,3595,0,104441.0,26.8,10003.0
East 22nd Street,1.0,1,Manhattan,"['Pre-War', 'Cats Allowed', 'Hardwood Floors', 'Garden/patio', 'Granite Kitchen', 'High Ceilings', 'Stainless Steel Appliances', 'Brownstone', 'Dogs Allowed', 'Pre-war', 'Outdoor Space', 'Dishwasher', 'Marble Bath', 'Subway', 'Renovated', 'Light', 'Laundry In Building', 'Microwave']",0.38,Gramercy Park,2600,0,104441.0,26.8,10003.0
325 East 21 Street,1.0,3,Manhattan,['GREAT SIZE __TRUE 3 BEDROOMS___EXCELLENT LOCATION EAST 21 ST & 2 AVE'],0.36,Gramercy Park,4190,0,104441.0,26.8,10003.0
1st Avenue,1.0,3,Manhattan,"['New Construction', 'Bicycle Room', ' No Fee', 'Lounge', 'High Speed Internet', 'Valet', 'Fitness Center', 'Roof Deck', 'Doorman', 'Storage', 'Diplomats Ok', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Laundry In Building', 'Subway']",0.42,Gramercy Park,4500,0,104441.0,26.8,10003.0
346 E 18th St,2.0,3,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Featured', 'Dogs Allowed', 'Laundry In Unit', 'No Fee']",0.2,Gramercy Park,5073,1,104441.0,26.8,10003.0
East 21st Street,1.0,Studio,Manhattan,"['Live In Super', 'Hardwood Floors', 'Garage', 'Stainless Steel Appliances', 'Elevator', 'Renovated', 'Light', 'Diplomats Ok', 'Laundry In Building', 'Subway']",0.36,Gramercy Park,2295,0,104441.0,26.8,10003.0
East 18th Street,1.0,1,Gramercy,"['Cats Allowed', 'Dogs Allowed', 'Doorman', 'Elevator', 'Washer/Dryer']",0.21,Gramercy Park,3250,0,104441.0,26.8,10003.0
East 21st Street,1.0,1,Manhattan,"['Live In Super', 'Hardwood Floors', 'Garage', 'Stainless Steel Appliances', 'Elevator', 'Renovated', 'Light', 'Diplomats Ok', 'Laundry In Building', 'Subway']",0.36,Gramercy Park,2595,0,104441.0,26.8,10003.0
East 17th street and Irving Pl...,1.0,2,Manhattan,"['Pre-War', 'Duplex', 'Cats Allowed', 'Dogs Allowed', 'Pre-war', 'Elevator', 'Renovated', 'Subway', 'Laundry In Building']",0.19,Gramercy Park,3500,0,104441.0,26.8,10003.0
East 18th Street,1.0,3Flex 4 ,Manhattan,"['Dining Room', 'Cats Allowed', 'Convertible', 'Walk In Closet', 'Dishwasher', 'High Speed Internet', 'Diplomats Ok', 'Laundry In Building', 'Granite Kitchen', 'Dogs Allowed', 'Doorman', 'Elevator', 'Subway', 'Garage', 'Open View', 'Concierge', 'No Fee', 'Eat In Kitchen', 'Renovated', 'Light', 'Hardwood Floors']",0.21,Gramercy Park,5195,0,104441.0,26.8,10003.0
East 16th street and first ave...,1.0, 2,Manhattan,"['Hardwood', 'High Ceilings', 'Renovated', 'Light']",0.12,Gramercy Park,3250,0,104441.0,26.8,10003.0
 East 22nd Street,1.0,Studio,Manhattan,"['Cats Allowed', 'Dogs Allowed', 'No Fee', 'Elevator', 'Bright-Hardwood floor- High ceiling- Close to transportation', 'Laundry In Building']",0.16,Gramercy Park,2375,0,104441.0,26.8,10003.0
E 19th street,1.0,3,Manhattan,[],0.23,Gramercy Park,4500,0,104441.0,26.8,10003.0
East 21st Street,1.0,Studio,Manhattan,"['Pre-War', 'Laundry in Unit', 'Cats Allowed', 'Hardwood Floors', 'Fitness Center', 'Pre-war', 'Laundry In Unit', 'Doorman', 'Dogs Allowed', 'Dishwasher', 'Floorplans Available', 'Elevator', 'Renovated', 'Laundry In Building', 'Microwave']",0.35,Gramercy Park,3075,400,104441.0,26.8,10003.0
East 22nd Street,2.0,3,Manhattan,"['Dining Room', 'Cats Allowed', 'Outdoor Space', 'Dishwasher', 'Light', 'Common Outdoor Space', 'Diplomats Ok', 'Laundry In Building', 'Duplex', 'Granite Kitchen', 'High Ceilings', 'Dogs Allowed', 'Doorman', 'Storage', 'Marble Bath', 'Elevator', 'Subway', 'Laundry In Unit', 'Concierge', 'No Fee', 'Multi-level', 'Laundry in Unit', 'Valet', 'Renovated', 'High Speed Internet', 'Hardwood Floors', 'City View']",0.26,Gramercy Park,6500,0,104441.0,26.8,10003.0
East 22nd Street,1.0,1,Manhattan,"['Laundry in Unit', 'Granite Kitchen', 'High Ceilings', 'Laundry In Unit', 'Outdoor Space', 'Dishwasher', 'Marble Bath', 'Eat In Kitchen', 'Renovated', 'Light', 'Hardwood Floors', 'Laundry In Building']",0.39,Gramercy Park,2600,0,104441.0,26.8,10003.0
E20s No Fee,1.0,3,Manhattan,"['Cats Allowed', 'Featured', 'Dogs Allowed', 'Fitness Center', 'Indoor Pool', 'Doorman', 'Laundry in Building', 'No Fee', 'Elevator', 'Roof Deck']",0.3,Gramercy Park,4500,0,104441.0,26.8,10003.0
East 22nd Street,1.0,4,Manhattan,"['Bicycle Room', 'New Construction', 'Pied A Terre', 'High Ceilings', 'Storage', 'Elevator', 'Light', 'Hardwood Floors', 'Laundry In Building']",0.05,Gramercy Park,6500,0,104441.0,26.8,10003.0
East 20st-No Fee-3Bdr,1.0,3,Manhattan,"['Storage Facility', 'Featured', 'Parking Space', 'Fitness Center', 'Doorman', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.3,Gramercy Park,4300,0,104441.0,26.8,10003.0
East 20st-No Fee-3Bdr,1.0,3,Manhattan,"['Storage Facility', 'Featured', 'Parking Space', 'Fitness Center', 'Doorman', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.3,Gramercy Park,4300,0,104441.0,26.8,10003.0
East 20st-No Fee-3Bdr,1.0,3,Manhattan,"['Storage Facility', 'Featured', 'Parking Space', 'Fitness Center', 'Doorman', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.3,Gramercy Park,4300,0,104441.0,26.8,10003.0
E 18 St.,1.0,Studio,Manhattan,"['Cats Allowed', 'Garage', 'Dogs Allowed', 'Doorman', 'Concierge', 'Dishwasher', 'Light', 'Diplomats Ok', 'Floorplans Available', 'Elevator', 'Renovated', 'High Speed Internet', 'Hardwood Floors', 'Laundry In Building', 'Subway']",0.21,Gramercy Park,2495,0,104441.0,26.8,10003.0
Park Avenue South,1.0,4,Manhattan,"['Pre-War', 'Terrace', 'Duplex', 'Live In Super', 'High Ceilings', 'Valet', 'Pre-war', 'Doorman', 'Concierge', 'Light', 'Elevator', 'High Speed Internet', 'Hardwood Floors', 'Laundry In Building', 'Subway']",0.01,Gramercy Park,6350,0,104441.0,26.8,10003.0
342 E 22nd St,1.5,4,Manhattan,"['Renovated', 'Dishwasher', 'Exclusive']",0.38,Gramercy Park,5995,0,104441.0,26.8,10003.0
E 16 Union Square. Elevator,1.0,3,Manhattan,"['Cats Allowed', 'Fitness Center', 'Dogs Allowed', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.12,Gramercy Park,4000,0,104441.0,26.8,10003.0
E 16 Union Square. Elevator,1.0,3,Manhattan,"['Cats Allowed', 'Fitness Center', 'Dogs Allowed', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.12,Gramercy Park,4000,0,104441.0,26.8,10003.0
East 18th Street,1.0,2,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Garden/patio', 'Granite Kitchen', 'Walk In Closet', 'Brownstone', 'Dogs Allowed', 'Laundry In Unit', 'Dishwasher', 'Marble Bath', 'Diplomats Ok', 'No Fee', 'Subway', 'Hardwood Floors', 'Microwave']",0.21,Gramercy Park,4334,0,104441.0,26.8,10003.0
E 22 street,2.0,2,Manhattan,"['Cats Allowed', 'Dogs Allowed', 'No Fee', 'Elevator', 'Laundry In Building']",0.38,Gramercy Park,4950,0,104441.0,26.8,10003.0
220 East 22nd Street,1.0,2,Manhattan,[],0.26,Gramercy Park,5100,0,104441.0,26.8,10003.0
E 22nd Street,1.0,1,Manhattan,"['Cats Allowed', 'Dogs Allowed', 'Granite kitchen', 'Hardwood floors', 'Marble bath', 'Dishwasher', 'Hardwood Floors', 'Laundry In Building']",0.37,Gramercy Park,2350,0,104441.0,26.8,10003.0
East 20's,1.0,2,Manhattan,"['Storage Facility', 'Laundry in Unit', 'Cats Allowed', 'Private Outdoor Space', 'Parking Space', 'Furnished', 'Laundry In Unit', 'Doorman', 'Fitness Center', 'Dogs Allowed', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.38,Gramercy Park,3195,850,104441.0,26.8,10003.0
East 20's,1.0,2,Manhattan,"['Storage Facility', 'Laundry in Unit', 'Cats Allowed', 'Private Outdoor Space', 'Parking Space', 'Furnished', 'Laundry In Unit', 'Doorman', 'Fitness Center', 'Dogs Allowed', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.38,Gramercy Park,3195,850,104441.0,26.8,10003.0
E 18th St,1.0,3,Manhattan,"['X-brick', 'Marb Bth', 'Dw', 'Hrdwd Flrs', 'Private Outdoor Space', 'Exposed Brick', 'Cats Allowed', '3br – Gran Kitch', 'Dogs Allowed', 'Dishwasher', 'Wd']",0.23,Gramercy Park,5695,0,104441.0,26.8,10003.0
E 18th St,1.0,3,Manhattan,"['X-brick', 'Marb Bth', 'Dw', 'Hrdwd Flrs', 'Private Outdoor Space', 'Exposed Brick', 'Cats Allowed', '3br – Gran Kitch', 'Dogs Allowed', 'Dishwasher', 'Wd']",0.23,Gramercy Park,5695,0,104441.0,26.8,10003.0
E 15 Union Square. No fee. Eve...,1.0,3,Manhattan,"['Cats Allowed', 'Fitness Center', 'Dogs Allowed', 'Doorman', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.13,Gramercy Park,4450,0,104441.0,26.8,10003.0
2nd Avenue,1.0,2,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Dogs Allowed', 'Laundry In Unit', 'No Fee', 'Laundry In Building']",0.21,Gramercy Park,3478,0,104441.0,26.8,10003.0
East 17th Street,1.0,Studio,Manhattan,"['Pre-War', 'Live In Super', 'Laundry In Building', 'Pre-war']",0.12,Gramercy Park,2800,0,104441.0,26.8,10003.0
E 18th St,2.0,3,Manhattan,"['X-brick', 'Micro', 'Dw', 'Hrdwd Flrs', 'Cats Allowed', 'Private Outdoor Space', 'Exposed Brick', '3br – Gran Kitch', 'Dogs Allowed', '2 Marb Bths', 'Dishwasher', 'Wd']",0.2,Gramercy Park,5795,0,104441.0,26.8,10003.0
E 18th St,2.0,3,Manhattan,"['Micro', 'Dw', 'Hrdwd Flrs', 'Cats Allowed', 'Private Outdoor Space', 'Exposed Brick', '3br – Gran Kitch', ' X-brick', 'Dogs Allowed', '2 Marb Bths', 'Dishwasher', 'Wd']",0.2,Gramercy Park,5795,0,104441.0,26.8,10003.0
 E 15,1.0,4,Manhattan,"['Storage Facility', 'Dining Room', 'Cats Allowed', 'Hardwood Floors', 'High Speed Internet', ' Wheelchair Access', 'Fitness Center', 'Dogs Allowed', 'Outdoor Space', 'Dishwasher', 'Laundry in Building', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.1,Gramercy Park,5200,0,104441.0,26.8,10003.0
E 16st ,2.0,3,Manhattan,"['Storage Facility', 'Cats Allowed', 'Fitness Center', 'Dogs Allowed', 'Doorman', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.11,Gramercy Park,4500,0,104441.0,26.8,10003.0
315 east 23,1.0,Studio,Manhattan,"['Cats Allowed', 'Dogs Allowed', 'Doorman', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.4,Gramercy Park,2550,400,104441.0,26.8,10003.0
315 east 23,1.0,Studio,Manhattan,"['Cats Allowed', 'Dogs Allowed', 'Doorman', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.4,Gramercy Park,2550,400,104441.0,26.8,10003.0
East 16st,1.0,3,Manhattan,"['Storage Facility', 'Cats Allowed', 'Fitness Center', 'Dogs Allowed', 'Doorman', 'No Fee', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.11,Gramercy Park,4000,0,104441.0,26.8,10003.0
East 23rd Street,1.0,1,Manhattan,['Doorman'],0.39,Gramercy Park,3325,0,104441.0,26.8,10003.0
East 17th Street,1.0,Studio,Manhattan,"['Pre-War', 'Laundry in Unit', 'Cats Allowed', 'Granite Kitchen', 'High Ceilings', 'Walk In Closet', 'Dogs Allowed', 'Pre-war', 'Laundry In Unit', 'Dishwasher', 'Light', 'Live In Super', 'Renovated', 'Fireplace', 'Hardwood Floors', 'Laundry In Building', 'Microwave']",0.12,Gramercy Park,2850,0,104441.0,26.8,10003.0
 East 22nd Street,1.0,1,Manhattan,['Private Outdoor Space'],0.38,Gramercy Park,2600,0,104441.0,26.8,10003.0
E 18th St,1.0,3,Manhattan,"['X-brick', 'Micro', 'Marb Bth', 'Dw', 'Cats Allowed', 'Private Outdoor Space', 'Exposed Brick', '3br – Gran Kitch', 'Wide-plank Hrdwd Flrs', 'Dogs Allowed', 'Dishwasher', 'Wd']",0.21,Gramercy Park,5795,0,104441.0,26.8,10003.0
East 17th Street,1.0,Studio,Manhattan,"['Cats Allowed', 'Garden/patio', 'Granite Kitchen', 'Stainless Steel Appliances', 'Loft', 'High Ceilings', 'Dogs Allowed', 'Outdoor Space', 'Dishwasher', 'Marble Bath', 'Subway', 'Elevator', 'Renovated', 'Light', 'Hardwood Floors', 'Laundry In Building', 'Microwave']",0.2,Gramercy Park,2475,0,104441.0,26.8,10003.0
Norfolk Street,1.0,3,Manhattan,"['Laundry in Unit', 'Featured', 'Granite Kitchen', 'High Ceilings', 'Laundry In Unit', 'Dishwasher', 'Marble Bath', 'Floorplans Available', 'Renovated', 'Light', 'Hardwood Floors']",0.03,Lower East Side,4400,0,35449.0,6.4,10002.0
Norfolk Street,1.0,3,Manhattan ,"['Laundry in Unit', 'Featured', 'Granite Kitchen', 'High Ceilings', 'Laundry In Unit', 'Dishwasher', 'Marble Bath', 'Floorplans Available', 'Renovated', 'Light', 'Hardwood Floors']",0.03,Lower East Side,4400,0,35449.0,6.4,10002.0
Norfolk Street,1.0,3,Manhattan,"['Laundry in Unit', 'Featured', 'Granite Kitchen', 'High Ceilings', 'Laundry In Unit', 'Dishwasher', 'Marble Bath', 'Floorplans Available', 'Renovated', 'Light', 'Hardwood Floors']",0.03,Lower East Side,4400,0,35449.0,6.4,10002.0
198 Rivington Street,1.0,3,Manhattan,"['Cats Allowed', 'Featured', 'Dogs Allowed', 'No Fee', 'Exclusive']",0.22,Lower East Side,5195,0,35449.0,6.4,10002.0
Ludlow St,1.0,1,Manhattan,"['Featured', 'Package Acceptance', 'Elevator', 'Roof Deck', 'Laundry In Building']",0.15,Lower East Side,3850,0,35449.0,6.4,10002.0
198 Rivington Street,1.0,4,Manhattan,"['Cats Allowed', 'Featured', 'Exposed Brick', 'Dogs Allowed', 'Dishwasher', 'No Fee', 'Renovated', 'Exclusive']",0.22,Lower East Side,6250,0,35449.0,6.4,10002.0
198 Rivington Street,1.0,4,Manhattan,"['Cats Allowed', 'Featured', 'Exposed Brick', 'Dogs Allowed', 'Dishwasher', 'No Fee', 'Renovated', 'Exclusive']",0.22,Lower East Side,6250,0,35449.0,6.4,10002.0
Stanton Street,2.0,4,Manhattan,"['Pre-War', 'Terrace', 'Laundry in Unit', 'High Ceilings', 'Pre-war', 'Laundry In Unit', 'Eat In Kitchen', 'Outdoor Space', 'Dishwasher', 'Marble Bath', 'No Fee', 'Elevator', 'Renovated', 'Light', 'Hardwood Floors']",0.24,Lower East Side,6999,0,35449.0,6.4,10002.0
200 Stanton St,2.0,4,Manhattan,"['Laundry in Unit', 'In-unit Laundry', 'Laundry Room', 'Private Outdoor Space', 'Featured', 'One Month Free', 'Laundry In Unit', 'Dishwasher', 'On-site Super', 'No Fee', 'Laundry In Building']",0.26,Lower East Side,7380,0,35449.0,6.4,10002.0
Stanton Street,2.0,4,Manhattan,"['Pre-War', 'Terrace', 'Laundry in Unit', 'High Ceilings', 'Pre-war', 'Laundry In Unit', 'Eat In Kitchen', 'Outdoor Space', 'Dishwasher', 'Marble Bath', 'No Fee', 'Elevator', 'Renovated', 'Light', 'Hardwood Floors']",0.24,Lower East Side,6999,0,35449.0,6.4,10002.0
200 Stanton St,2.0,4,Manhattan,"['Laundry in Unit', 'In-unit Laundry', 'Laundry Room', 'Private Outdoor Space', 'Featured', 'One Month Free', 'Laundry In Unit', 'Dishwasher', 'On-site Super', 'No Fee', 'Laundry In Building']",0.26,Lower East Side,7380,0,35449.0,6.4,10002.0
Stanton Street,2.0,4,Manhattan,"['Pre-War', 'Laundry in Unit', 'High Ceilings', 'Pre-war', 'Laundry In Unit', 'Eat In Kitchen', 'Dishwasher', 'Marble Bath', 'No Fee', 'Elevator', 'Renovated', 'Light', 'Hardwood Floors']",0.24,Lower East Side,6999,0,35449.0,6.4,10002.0
Stanton Street,2.0,4,Manhattan,"['Pre-War', 'Laundry in Unit', 'High Ceilings', 'Pre-war', 'Laundry In Unit', 'Eat In Kitchen', 'Dishwasher', 'Marble Bath', 'No Fee', 'Elevator', 'Renovated', 'Light', 'Hardwood Floors']",0.24,Lower East Side,6995,0,35449.0,6.4,10002.0
124 Ridge Street,1.0,1,Manhattan,[],0.24,Lower East Side,2859,0,35449.0,6.4,10002.0
124 Ridge Street,1.0,1,Manhattan,[],0.24,Lower East Side,2859,0,35449.0,6.4,10002.0
124 Ridge Street,1.0,1,Manhattan,[],0.24,Lower East Side,2859,0,35449.0,6.4,10002.0
151 Rivington Street,2.0,3,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Dogs Allowed', 'Laundry In Unit', 'No Fee']",0.1,Lower East Side,5595,0,35449.0,6.4,10002.0
124 Ridge Street,1.0,1,Manhattan,[],0.24,Lower East Side,2859,0,35449.0,6.4,10002.0
151 Rivington Street,2.0,3,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Dogs Allowed', 'Laundry In Unit', 'No Fee']",0.1,Lower East Side,5595,0,35449.0,6.4,10002.0
200 Stanton,1.0,2,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Private Outdoor Space', 'Dogs Allowed', 'Laundry In Unit', 'No Fee']",0.27,Lower East Side,7380,0,35449.0,6.4,10002.0
195 Stanton Street,2.0,3,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Dogs Allowed', 'Laundry In Unit', 'Doorman', 'Dishwasher', 'No Fee', 'Elevator']",0.24,Lower East Side,5534,0,35449.0,6.4,10002.0
195 Stanton Street,2.0,3,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Dogs Allowed', 'Laundry In Unit', 'Doorman', 'Dishwasher', 'No Fee', 'Elevator']",0.24,Lower East Side,5534,0,35449.0,6.4,10002.0
Ludlow St,1.0,2,Manhattan,"['Laundry in Unit', 'Granite Kitchen', 'High Ceilings', 'Laundry In Unit', 'Dishwasher', 'Marble Bath', 'Eat In Kitchen', 'Renovated', 'Light', 'Hardwood Floors']",0.12,Lower East Side,3483,0,35449.0,6.4,10002.0
