address,bath,bedrooms,borough,extra,nearest_subway,neighborhood,rent,sqft,median_income,percent_high_earner,zipcode
540 West 47th Street,1.0,1,Manhattan,"['Cats Allowed', 'Reduced Fee', 'No Fee', 'Exclusive']",0.47,Hell's Kitchen,2250,0,93707.0,19.8,10036.0
445 West 36th Street,1.0,Studio,Manhattan,['Exclusive'],0.25,Hell's Kitchen,1950,0,93707.0,19.8,10036.0
W 43rd St,2.0,2,Manhattan,"['Featured', 'Guarantor Accepted', 'Dishwasher', 'Laundry In Building', 'Washerdryer', 'Bike Storage', 'Heat And Hot Water Included', 'Lounge', 'Microwave', 'Garage', 'Gym', 'No Fee', 'Roof Deck', 'Childrens Playroom', 'Patio', 'Central Air', 'Package Acceptance', 'Pets', 'Renovated', 'Hardwood Floors']",0.41,Hell's Kitchen,5175,0,93707.0,19.8,10036.0
W 43rd St,2.0,2,Manhattan,"['Featured', 'Guarantor Accepted', 'Dishwasher', 'Laundry In Building', 'Washerdryer', 'Bike Storage', 'Heat And Hot Water Included', 'Lounge', 'Microwave', 'Garage', 'Gym', 'No Fee', 'Roof Deck', 'Childrens Playroom', 'Patio', 'Central Air', 'Package Acceptance', 'Pets', 'Renovated', 'Hardwood Floors']",0.41,Hell's Kitchen,5175,0,93707.0,19.8,10036.0
W 43rd St,2.0,2,Manhattan,"['Featured', 'Guarantor Accepted', 'Dishwasher', 'Laundry In Building', 'Washerdryer', 'Bike Storage', 'Heat And Hot Water Included', 'Lounge', 'Microwave', 'Garage', 'Gym', 'No Fee', 'Roof Deck', 'Childrens Playroom', 'Patio', 'Central Air', 'Package Acceptance', 'Pets', 'Renovated', 'Hardwood Floors']",0.41,Hell's Kitchen,5175,0,93707.0,19.8,10036.0
West 42rd Street,2.0,3,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Reduced Fee', 'Fitness Center', 'Laundry In Unit', 'Dogs Allowed', 'Doorman', 'No Fee', 'Floorplans Available', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.23,Hell's Kitchen,4615,0,93707.0,19.8,10036.0
West 42rd Street,2.0,3,Manhattan,"['Laundry in Unit', 'Cats Allowed', 'Reduced Fee', 'Fitness Center', 'Laundry In Unit', 'Dogs Allowed', 'Doorman', 'No Fee', 'Floorplans Available', 'Elevator', 'Common Outdoor Space', 'Laundry In Building']",0.23,Hell's Kitchen,4615,0,93707.0,19.8,10036.0
West 42rd Street,2.0,3Flex 4 ,Manhattan,"['Terrace', 'Dining Room', 'Cats Allowed', 'Convertible', 'Outdoor Space', 'Dishwasher', 'Light', 'Common Outdoor Space', 'Laundry In Building', 'Stainless Steel Appliances', 'High Ceilings', 'One Month Free', 'Dogs Allowed', 'Doorman', 'Storage Facility', 'Elevator', 'Private Deck', 'Microwave', 'Bicycle Room', 'Garage', 'Reduced Fee', 'Fitness Center', 'Laundry In Unit', 'No Fee', 'Floorplans Available', 'Laundry in Unit', 'Valet', 'Eat In Kitchen', 'Renovated', 'High Speed Internet', 'City View']",0.23,Hell's Kitchen,4615,0,93707.0,19.8,10036.0
West 42rd Street,2.0,3Flex 4 ,Manhattan,"['Terrace', 'Dining Room', 'Cats Allowed', 'Convertible', 'Outdoor Space', 'Dishwasher', 'Light', 'Common Outdoor Space', 'Laundry In Building', 'Stainless Steel Appliances', 'High Ceilings', 'One Month Free', 'Doorman', 'Storage Facility', 'Elevator', 'Private Deck', 'Microwave', 'Bicycle Room', 'Garage', 'Reduced Fee', 'Fitness Center', 'Laundry In Unit', 'No Fee', 'Floorplans Available', 'Laundry in Unit', 'Valet', ' Dogs Allowed', 'Eat In Kitchen', 'Renovated', 'High Speed Internet', 'City View']",0.23,Hell's Kitchen,4615,0,93707.0,19.8,10036.0
W 37th St,1.5,3Flex 4 ,Manhattan,"['Convertible', 'Walk In Closet', 'Dishwasher', 'Common Outdoor Space', 'Granite Kitchen', 'High Ceilings', 'Doorman', 'Marble Bath', 'Elevator', 'Live In Super', 'Lounge', 'Subway', 'Bicycle Room', 'Garage', 'Fitness Center', 'Pre-war', 'Concierge', 'No Fee', 'Deck', 'Receiving Room', 'Business Center', 'Pre-War', 'Laundry In Building\n \n\nHigh Speed Internet', 'Valet', 'Renovated', 'Light', 'Hardwood Floors']",0.24,Hell's Kitchen,4100,0,93707.0,19.8,10036.0
