address,bath,bedrooms,borough,extra,nearest_subway,neighborhood,rent,sqft,unit,url
180 1 Ave,1,4,Manhattan,"['No Fee', 'Elevator', 'No Fee', 'Featured', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed', 'utilities included']",0.17,East Village,4200,0,Apt 3A,https://www.renthop.com/listings/1-ave/3a/12721157
41 River Terrace,2,3Flex 4 ,Manhattan,"['No Fee', 'Exclusive', 'Doorman', 'Elevator', 'Hardwood Floors', 'No Fee', 'Swimming Pool', 'Dining Room', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Dishwasher', 'Hardwood Floors', 'Convertible', 'Garage', 'Granite Kitchen', 'High Ceilings', 'Walk In Closet', 'Dogs Allowed', 'Cats Allowed', 'Exclusive', 'Convertible']",0.33,Battery Park City,5700,0,Apt 1515,https://www.renthop.com/listings/41-river-terrace/1515/14339652
23-28 29 Ave,1,2,Queens,"['Exclusive', '', 'Featured', 'Exclusive']",0.26,Astoria,2000,0,Apt 2R,https://www.renthop.com/listings/23-28-29-ave/2r/14392221
Amsterdam Ave,1,3,Manhattan,"['No Fee', '', 'No Fee', 'Featured']",0.16,Upper West Side,4230,0,NaN,https://www.renthop.com/listings/amsterdam-ave/4s/13964155
63 Wall,1,Studio,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'No Fee', 'Featured', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed']",0.08,Financial District,2727,0,NaN,https://www.renthop.com/listings/63-wall/na/14511574
153 West 85th Street,1,1,Manhattan,"['No Fee', 'Exclusive', 'Loft', 'Hardwood Floors']",NaN,Upper West Side,2550,600,Apt 4R,https://www.renthop.com/listings/153-west-85th-street/4r/14534621
785 Ninth Avenue 3c,1,2,Manhattan,"['Exclusive', 'Pre-War', 'Featured', 'Exclusive', 'Reduced Fee', 'Cats Allowed', 'Dogs Allowed', 'Pre-War', 'brand new renovations']",0.21,Hell's Kitchen,3199,700,Apt 3C,https://www.renthop.com/listings/785-9th-ave-52nd-st-3c/3c/14123483
323 East 9th Street,1,1,Brooklyn,"['Cats Allowed', 'Dogs Allowed', 'Live In Super', 'Guarantors Accepted']",0.31,Kensington,1700,700,NaN,https://www.renthop.com/listings/323-east-9th-street/na/14508797
50 Battery Pl,2,2,Manhattan,"['No Fee', 'Exclusive', 'By Owner', ' Doorman', 'Elevator']",0.22,Battery Park City,5445,0,Apt 7F,https://www.renthop.com/listings/50-battery-pl/7f/13329563
West 179th Street,1,3,Manhattan,"['No Fee', 'Elevator', 'No Fee', 'Featured', 'Elevator', 'Cats Allowed', 'Dogs Allowed']",0.1,Washington Heights,3350,0,NaN,https://www.renthop.com/listings/west-179th-street/3e/13016890
19 st / 1st av,2,2,Manhattan,"['No Fee', 'Elevator', 'No Fee', 'Featured', 'Parking Space', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed']",0.26,Gramercy Park,4980,0,NaN,https://www.renthop.com/listings/19-st-1st-av/12f/14479293
West 87th Street,2.5,3Flex 4 ,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Hardwood Floors']",NaN,Upper West Side,10500,0,NaN,https://www.renthop.com/listings/west-87th-street/23f/14532376
Norfolk Street,1,3,Manhattan ,"['Laundry in Unit', 'Hardwood Floors', 'Floorplans Available', 'Featured', 'Laundry In Unit', 'Dishwasher', 'Hardwood Floors', 'Granite Kitchen', 'High Ceilings', 'Light', 'Marble Bath', 'Renovated']",0.03,Lower East Side,4400,0,NaN,https://www.renthop.com/listings/norfolk-street/12/13276723
488 Harman St,1,2,Brooklyn,"['Exclusive', '', 'Featured', 'Exclusive', 'Dogs Allowed', 'Cats Allowed']",0.24,Bushwick,2000,0,NaN,https://www.renthop.com/listings/488-harman-st/na/14491659
600 West End Avenue,1,Studio,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'No Fee', 'Featured', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed']",0.1,Upper West Side,2800,0,Apt 11F,https://www.renthop.com/listings/600-west-end-avenue/11f/14293454
200 Water Street,2,2,Manhattan,"['No Fee', 'Exclusive', 'Doorman', 'Elevator', 'Hardwood Floors', 'No Fee', 'Deck', 'Doorman', 'Elevator', 'Laundry In Building', 'Dishwasher', 'Hardwood Floors', 'Concierge', 'Eat In Kitchen', 'Granite Kitchen', 'High Ceilings', 'Light', 'Lounge', 'Marble Bath', 'Renovated', 'Valet', 'Dogs Allowed', 'Cats Allowed', 'Exclusive']",0.18,Financial District,5420,0,Apt 225,https://www.renthop.com/listings/200-water-street/225/14554160
