address,bath,bedrooms,borough,extra,nearest_subway,neighborhood,rent,sqft,unit,url
39th Avenue,1,1,Queens,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Loft', 'No Fee', 'Floorplans Available', 'Laundry In Unit', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Cats Allowed', 'Dogs Allowed', 'Swimming Pool', 'Deck', 'Dining Room', 'Loft', 'High Speed Internet', 'Dishwasher', 'Hardwood Floors', 'Wheelchair Access', 'New Construction', 'Bicycle Room', 'Business Center', 'Eat In Kitchen', 'Garage', 'Granite Kitchen', 'High Ceilings', 'Light', 'Lounge', 'Marble Bath', 'Nursery', 'One Month Free', 'Receiving Room', 'Renovated', 'Stainless Steel Appliances', 'Storage', 'Subway', ' Valet', 'Walk In Closet']",0.09,Long Island City,3300,675,NaN,https://www.renthop.com/listings/39th-avenue/b202/13844908
East 30th Street,1,1,Manhattan,"['Hardwood Floors', 'Dishwasher', 'Hardwood Floors', 'Granite Kitchen', 'High Ceilings', 'Light', 'Marble Bath', 'Microwave']",0.18,Rose Hill,2550,0,NaN,https://www.renthop.com/listings/east-30th-street/2a/14506732
1st Ave,2,4,Manhattan,"['No Fee', 'Elevator', 'Pre-War', 'Hardwood Floors', 'No Fee', 'Elevator', 'Fitness Center', 'Pre-war', 'Laundry In Building', 'High Speed Internet', 'Dishwasher', 'Hardwood Floors', 'Bicycle Room', 'Business Center', 'Common Outdoor Space', 'Concierge', 'Garage', 'Lounge', 'Renovated', 'Storage', 'Virtual Doorman']",0.05,Stuyvesant Town - Peter Cooper Village,5870,0,NaN,https://www.renthop.com/listings/1st-ave/16k/14465801
84 George St,1,3,Brooklyn,"['', 'Reduced Fee', 'Cats Allowed', 'Dogs Allowed']",0.31,Bushwick,3300,0,Apt 1R,https://www.renthop.com/listings/84-george-st/1r/14551585
1 Blue Slip,1,1,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'No Fee', 'Floorplans Available', 'Featured', 'Laundry In Unit', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed']",0.96,Governors Island,3150,0,NaN,https://www.renthop.com/listings/1-blue-slip/na/14452187
Broome St,1,2,Manhattan,"['No Fee', '', 'No Fee', 'Featured']",0.13,NoLita,3437,0,NaN,https://www.renthop.com/listings/broome-st/14/14515213
East 73rd Street,1,2,Manhattan,"['No Fee', 'Laundry in Unit', 'Pre-War', 'Hardwood Floors', 'No Fee', 'Pre-war', 'Laundry In Unit', 'Dishwasher', 'Hardwood Floors', 'Brownstone', 'Diplomats Ok', 'Light', 'Renovated', 'Subway', 'Dogs Allowed', 'Cats Allowed']",0.31,Upper East Side,3600,0,NaN,https://www.renthop.com/listings/east-73rd-street/5b/14063972
237 duffield ,1,1,Brooklyn,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'No Fee', 'Laundry In Unit', 'Private Outdoor Space', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed']",0.06,Downtown Brooklyn,2872,0,NaN,https://www.renthop.com/listings/237-duffield/4b/14334788
1st Avenue,1,2,Manhattan,"['Elevator', 'Fitness Center', 'Elevator', 'Dishwasher', 'Cats Allowed', 'Dogs Allowed']",0.24,Stuyvesant Town - Peter Cooper Village,4022,0,NaN,https://www.renthop.com/listings/1st-avenue/na/14523393
415 E 72nd,1,Studio,Manhattan,"['Exclusive', '', 'Floorplans Available', 'Exclusive', 'Cats Allowed', 'Live-in Super']",0.18,Turtle Bay,2095,0,Apt 5,https://www.renthop.com/listings/e-72nd/5/14464137
374 Throop Ave Brooklyn,1,2,Brooklyn,"['No Fee', '', 'No Fee', 'Laundry In Building', 'Common Outdoor Space', 'Cats Allowed', 'Dogs Allowed', 'NO Fee', 'Roof Deck', 'Dishwasher', 'new renovation']",0.39,Bedford-Stuyvesant,2650,0,Ny 11...,https://www.renthop.com/listings/374-throop-ave/2/14537373
West 13th Street,1,1,Manhattan,"['Pre-War', 'Hardwood Floors', 'Pre-war', 'Laundry In Building', 'Hardwood Floors', 'Brownstone', 'Light', 'Marble Bath', 'One Month Free', 'Renovated', 'Subway']",0.08,West Village,3400,366,NaN,https://www.renthop.com/listings/west-13th-street/25/14516319
535 East 78th Street,1,Studio,Manhattan,"['', 'Cats Allowed', 'Dogs Allowed']",0.5,Upper East Side,1975,0,Apt 4F,https://www.renthop.com/listings/535-east-78th-street/4f/14551610
Washington Street,3,3,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Loft', 'Hardwood Floors', 'No Fee', 'Deck', 'Dining Room', 'Doorman', 'Elevator', 'Fitness Center', 'Loft', 'Terrace', 'Laundry In Unit', 'Dishwasher', 'Hardwood Floors', 'Outdoor Space', 'City View', 'Eat In Kitchen', 'Granite Kitchen', 'High Ceilings', 'Light', 'Marble Bath', 'Open View', 'Park View', 'Private Deck', 'Renovated', 'River View', 'Walk In Closet']",0.23,Tribeca,15000,0,NaN,https://www.renthop.com/listings/washington-street/20d/14533253
Washington Street,3,3,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Loft', 'Hardwood Floors', 'No Fee', 'Deck', 'Dining Room', 'Doorman', 'Elevator', 'Fitness Center', 'Loft', 'Terrace', 'Laundry In Unit', 'Dishwasher', 'Hardwood Floors', 'Outdoor Space', 'City View', 'Eat In Kitchen', 'Granite Kitchen', 'High Ceilings', 'Light', 'Marble Bath', 'Open View', 'Park View', 'Private Deck', 'Renovated', 'River View', 'Walk In Closet']",0.23,Tribeca,15000,0,NaN,https://www.renthop.com/listings/washington-street/20d/14533253
East 47th Street,2,4Flex 5 ,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Hardwood Floors', 'No Fee', 'Dining Room', 'Doorman', 'Elevator', 'Fitness Center\n \n\nLaundry In Building', 'Laundry In Unit', 'High Speed Internet', 'Dishwasher', 'Hardwood Floors', 'Business Center', 'City View', 'Concierge', 'Convertible', 'Eat In Kitchen', 'Garage', 'Granite Kitchen', 'High Ceilings', 'Light', 'Lounge', 'Marble Bath', 'Open View', 'Receiving Room', 'Renovated', 'Storage', 'Subway', 'Valet', 'Walk In Closet', 'Dogs Allowed', 'Cats Allowed', 'Convertible']",0.31,Turtle Bay,6500,0,NaN,https://www.renthop.com/listings/east-47th-street/15c/14555490
Sixth Avenue,1,Studio,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Hardwood Floors', 'No Fee', 'Floorplans Available', 'Deck', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Laundry In Unit', 'High Speed Internet', 'Dishwasher', 'Hardwood Floors', 'Wheelchair Access', 'Outdoor Space', 'New Construction', 'City View', 'Common Outdoor Space', 'Concierge', 'High Ceilings', 'Light', 'Lounge', 'Marble Bath', 'Receiving Room', 'Renovated', 'Storage', 'Subway', 'Valet', 'Dogs Allowed', 'Cats Allowed']",0.21,Garment District,2700,0,NaN,https://www.renthop.com/listings/sixth-avenue/4d/14507653
Center Boulevard,1,1,Queens,"['No Fee', 'Doorman', 'Elevator', 'No Fee', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed', 'Backyard\n \n\nDishwasher', 'Gym', 'In-Unit Laundry', 'Laundry Room', 'On-site super', 'Outdoor Space', 'Parking', 'Playroom/Nursery', 'Storage Room', 'Terrace', 'Luxury Highrise']",0.32,Hunters Point,2995,0,NaN,https://www.renthop.com/listings/center-boulevard/2907/14035316
1825 Ocean Avenue,1,Studio,Brooklyn,"['No Fee', 'Exclusive', 'Doorman', 'Elevator', 'Laundry in Unit', 'No Fee', 'Exclusive', 'Laundry In Unit', 'Private Outdoor Space', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Cats Allowed', 'Dogs Allowed']",0.25,Midwood,1765,402,Apt 3A,https://www.renthop.com/listings/1825-ocean-avenue/3a/14251706
West 15th Street,1,Studio,Manhattan,"['Elevator', 'Hardwood Floors', 'Elevator', 'Garden/patio', 'Laundry In Building', 'Dishwasher', 'Hardwood Floors', 'Diplomats Ok', 'Granite Kitchen', 'High Ceilings', 'Light', 'Marble Bath', 'Microwave', 'Renovated', 'Stainless Steel Appliances', 'Dogs Allowed', 'Cats Allowed']",0.05,Chelsea,3295,0,NaN,https://www.renthop.com/listings/west-15th-street/4c/13844002
972 Greene Ave,2,3,Brooklyn,"['No Fee', 'Exclusive', '', 'No Fee', 'Exclusive', 'Laundry In Building', 'Cats Allowed', 'Dogs Allowed']",0.18,Bedford-Stuyvesant,2899,0,Apt 3B,https://www.renthop.com/listings/972-greene-ave/3b/14551818
Greenwich St,2,1,Manhattan,['Doorman'],NaN,West Village,6346,0,NaN,https://www.renthop.com/listings/greenwich-st/604/14478521
38-14 29th St,1,2,Queens,"['Exclusive', '', 'Exclusive', 'Cats Allowed', 'Dogs Allowed', 'Dishwasher; Small Pet Friendly']",0.12,Long Island City,2700,0,Apt 1S,https://www.renthop.com/listings/38-14-29th-st/1s/14522427
East 73rd Street,1,Studio,Manhattan,"['No Fee', 'No Fee', 'Fireplace', 'Dogs Allowed', 'Cats Allowed']",0.13,Upper East Side,2275,356,NaN,https://www.renthop.com/listings/east-73rd-street/11/14534130
W 37th St.,1,Studio,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'No Fee', 'Deck', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'High Speed Internet', 'New Construction', 'Bicycle Room', 'Common Outdoor Space', 'Concierge', 'Garage', 'Granite Kitchen', 'Lounge', 'Subway', 'Valet', 'Dogs Allowed', 'Cats Allowed']",0.27,Hell's Kitchen,2563,0,NaN,https://www.renthop.com/listings/w-37th-st/924/14337558
Dean Street,1,Studio,Brooklyn,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Hardwood Floors', 'No Fee', 'Deck', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Laundry In Unit', 'High Speed Internet', 'Dishwasher', 'Hardwood Floors', 'New Construction', 'Common Outdoor Space', 'Granite Kitchen', 'High Ceilings', 'Light', 'Live In Super', 'Lounge', 'Marble Bath', 'Microwave', 'Open Kitchen', 'Receiving Room', 'Stainless Steel Appliances', 'Subway', 'Valet', 'Dogs Allowed', 'Cats Allowed']",0.08,Prospect Heights,2700,0,NaN,https://www.renthop.com/listings/dean-street/23d/14512149
1446 Flatbush Ave,2,4,Brooklyn,"['No Fee', 'Laundry in Unit']",0.24,Flatbush,3400 ,0,Apt 1,https://www.renthop.com/listings/1446-flatbush-ave/1/14290743
East 34th Street,2,3,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Hardwood Floors', 'No Fee', 'Deck', 'Dining Room', 'Balcony', 'Doorman', 'Elevator', 'Fitness Center', 'Garden/patio', 'Laundry In Building', 'Laundry In Unit', 'High Speed Internet', 'Dishwasher', 'Hardwood Floors', 'Outdoor Space', 'Bicycle Room', 'Children Playroom', 'Common Outdoor Space', 'Concierge', 'Diplomats Ok', 'Eat In Kitchen', 'Garage', 'Granite Kitchen', 'High Ceilings', 'Light', 'Live In Super', 'Marble Bath', 'Microwave', 'One Month Free', 'Open Kitchen', 'Receiving Room', 'Recreational Room', 'Renovated', 'Stainless Steel Appliances', 'Subway', 'Valet', 'Walk In Closet']",0.52,Murray Hill,5295,0,NaN,https://www.renthop.com/listings/east-34th-street/9d/14476178
10th Avenue,1,1Flex 2 ,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Hardwood Floors', 'No Fee', 'Deck', 'Dining Room', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Laundry In Unit', 'Dishwasher', 'Hardwood Floors', 'Outdoor Space', 'Common Outdoor Space', 'Concierge', 'Convertible', 'Eat In Kitchen', ' Garage', 'Light', 'Lounge', 'Marble Bath', 'Renovated', 'Subway', 'Valet', 'Dogs Allowed', 'Cats Allowed', 'Convertible']",0.34,Hell's Kitchen,3360,0,NaN,https://www.renthop.com/listings/10th-avenue/2012/14425590
,3,4,Manhattan,"['Doorman', 'Elevator', 'Pre-War', 'Doorman', 'Elevator', 'Pre-War', 'Dogs Allowed', 'Cats Allowed']",0.12,Upper West Side,13925,0,NaN,https://www.renthop.com/listings/na/na/14556937
205-235 East 95th Street,1,1,Manhattan,"['Doorman', 'Elevator', 'Floorplans Available', 'Dishwasher', 'Doorman', 'Elevator', 'Garage', 'Gym', 'Laundry Room', 'Pool']",0.06,Upper East Side,3280,0,Apt ...,https://www.renthop.com/listings/205-235-east-95th-street/b20e/14177164
178 Scholes St Brooklyn Ny,2,2,Brooklyn,"['No Fee', 'Exclusive', 'By Owner', 'Elevator', 'Laundry in Unit', 'No Fee', 'Featured', 'By Owner', 'Exclusive', 'Laundry In Unit', 'Private Outdoor Space', 'Parking Space', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed', 'High Ceilings Hardwood floors Central A/C Video Intercom Elevator Washer dryer installed Outdoor Space Balcony Terrace Roof access Skyline view Storage space Gym Private parking Eat In Kitchen Stainless Steel Appliances Dishwasher Built in microwave Cats ok Small dogs ok Hardwood Floors Bike storage Duplex Basement Stone countertops']",0.15,East Williamsburg,4500,0,Ap...,https://www.renthop.com/listings/180-scholes-st/1g/14517064
WEST ST HOT STUFF !,1,2,Manhattan,"['Doorman', 'Elevator', 'Laundry in Unit', 'Reduced Fee', 'Laundry In Unit', 'Private Outdoor Space', 'Parking Space', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed', '20-Foot Great Room Ceiling', 'Floor-to-ceiling Windows', 'Marble Bathrooms', 'Walnut and Granite Kitchens', 'Miele and Sub-Zero Kitchen Appliances', 'Wine Refrigerator', 'Wraparound Vistas', 'Iconic Views']",0.07,Financial District,6100,0,NaN,https://www.renthop.com/listings/west-st-hot-stuff-/na/13830291
 East 79th street ,1,Studio,Manhattan,"['', 'Laundry In Building']",0.23,Upper East Side,2000,0,NaN,https://www.renthop.com/listings/east-79th-street/3e/14469424
240 Sullivan Place,1,3,Brooklyn,"['No Fee', '']",0.21,East Flatbush,3400,0,NaN,https://www.renthop.com/listings/240-sullivan-place-brooklyn/na/14497279
 East 79th street ,1,Studio,Manhattan,"['', 'Laundry In Building']",0.23,Upper East Side,2000,0,NaN,https://www.renthop.com/listings/east-79th-street/3e/14469424
52nd St. & 8th Ave,1,1,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'No Fee', 'Doorman', 'Elevator', 'Laundry In Building', 'Parking available']",0.11,Theater District,2995,850,NaN,https://www.renthop.com/listings/52nd-st-8th-ave/12/14102640
194 East 2nd Street,1,2,Manhattan,"['Doorman', 'Elevator', 'Private Outdoor Space', 'Doorman', 'Elevator', 'Laundry In Building']",0.33,Alphabet City,4875,0,Apt 2,https://www.renthop.com/listings/194-east-2nd-street/2/14551550
200 North 11th Street,1,Studio,Brooklyn,"['No Fee', 'Exclusive', 'By Owner', 'Elevator', 'No Fee', 'By Owner', 'Exclusive', 'Private Outdoor Space', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Cats Allowed', 'Dogs Allowed', 'Guarantor Accepted']",0.2,Williamsburg,2700,650,Apt 4N,https://www.renthop.com/listings/200-north-11th-street/4n/13906639
31st Street,1,1,Queens,"['No Fee', 'Elevator', 'Laundry in Unit', 'Loft', 'Hardwood Floors', 'No Fee', 'Floorplans Available', 'Deck', 'Dining Room', 'Elevator', 'Fitness Center', 'Loft', 'Laundry In Building', 'Laundry In Unit', 'High Speed Internet', 'Dishwasher', 'Hardwood Floors', 'Wheelchair Access', 'New Construction', 'Common Outdoor Space', 'Eat In Kitchen', 'Garage', 'Granite Kitchen', 'High Ceilings', 'Light', 'Marble Bath', ' One Month Free', 'Receiving Room', 'Renovated', 'Stainless Steel Appliances', 'Storage', 'Subway', 'Virtual Doorman', 'Walk In Closet', 'Dogs Allowed', 'Cats Allowed']",0.01,Astoria,2895,0,NaN,https://www.renthop.com/listings/31st-street/v1bed3a/13844919
East 39th Street,1,1,Manhattan,"['', 'Floorplans Available', 'Private Outdoor Space', 'Cats Allowed', 'Dishwasher']",0.16,Murray Hill,2950,0,NaN,https://www.renthop.com/listings/east-39th-street/3c/14509527
63-04 Eliot Ave,1,2,Queens,"['No Fee', 'Exclusive', 'Hardwood Floors', 'No Fee', 'Dining Room', 'Garden/patio', 'Hardwood Floors', 'Outdoor Space', 'Eat In Kitchen', 'Granite Kitchen', 'High Ceilings', 'Marble Bath', 'Private Deck', 'Renovated', 'Exclusive']",0.57,Middle Village,2295,0,Apt 1,https://www.renthop.com/listings/63-04-eliot-ave/1/14551881
Dekalb Avenue,1,Studio,Brooklyn,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Pre-War', 'No Fee', 'Floorplans Available', 'Doorman', 'Elevator', 'Fitness Center', 'Pre-war', 'Laundry In Building', 'Laundry In Unit', 'High Speed Internet', 'Dishwasher', 'New Construction', 'Bicycle Room', 'Business Center', 'Common Outdoor Space', 'Diplomats Ok', 'Garage', 'High Ceilings', 'Lounge', 'Receiving Room', ' Stainless Steel Appliances', 'Storage', 'Subway', 'Valet', 'Walk In Closet', 'Dogs Allowed', 'Cats Allowed']",0.12,Fort Greene,2450,0,NaN,https://www.renthop.com/listings/dekalb-avenue/2323/14465599
133 Menahan St,2,4,Brooklyn,"['No Fee', '', 'No Fee', 'Laundry In Building', 'Cats Allowed', 'Dogs Allowed']",0.21,Bushwick,3595,0,Apt 3R,https://www.renthop.com/listings/133-menahan-st/3r/14551786
West 17th Street,1,1,Manhattan,"['Doorman', 'Private Outdoor Space', 'Doorman', 'Personal Assistant Services', 'Concierge', 'Atm Machine', 'Entertainment Lounge', 'Leasing Office', 'Resident Service Specialist', 'Resident Manager', '24 Hour Concierge', 'Bicycle Storage Room', ""Children's Playroom"", 'Business And Internet Lounge', 'Private On-site Storage Bins', 'Pet Spa', 'Assouline Culture Lounge', 'Full Service Equinox Fitness Club', 'Property Manager']",0.3,Chelsea,5610,0,NaN,https://www.renthop.com/listings/west-17th-street/301/14551039
2nd Ave,2,3Flex 4 ,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Hardwood Floors', 'No Fee', 'Featured', 'Laundry In Unit', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed', 'Dining Room', 'Balcony', 'Dishwasher', 'Hardwood Floors', 'Convertible', 'Eat In Kitchen', 'Granite Kitchen', 'High Ceilings', 'Light', 'Marble Bath', 'Renovated', 'Walk In Closet']",0.36,Kips Bay,4800,0,NaN,https://www.renthop.com/listings/2nd-ave/547/14452965
600 Washington Street,1,1,Manhattan,"['Exclusive', 'Doorman', 'Elevator', 'Floorplans Available', 'Exclusive', 'Reduced Fee', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Storage Facility', 'Cats Allowed', 'Dogs Allowed']",0.26,West Village,5200,664,Apt 303...,https://www.renthop.com/listings/600-washington-street/303/14232285
110 River Drive,1,1,Jersey City,"['No Fee', 'By Owner', 'No Fee', 'Floorplans Available', 'Dogs Allowed', 'Cats Allowed', 'By Owner']",NaN,Newport,2714,811,Apt 218,https://www.renthop.com/listings/110-river-drive/218/14210384
10 Barclay St,1,1,Manhattan,"['No Fee', 'Exclusive', 'Hardwood Floors', 'No Fee', 'Exclusive', 'Dishwasher', 'Garage', 'Gym', 'Pool', 'Washerdryer', 'Hardwood Floors', 'Microwave', 'Pied A Terre Allowed', 'Renovated', 'Roof Deck', 'Small Dogs Cats Allowed', 'Guarantor Accepted', 'Bike Storage', 'Childrens Playroom', 'Laundry In Building', 'Lounge', 'Package Acceptance']",0.07,Tribeca,4495,0,Apt 11A,https://www.renthop.com/listings/10-barclay-st/11a/13838901
East 39th Street,2,4Flex 5 ,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Hardwood Floors', 'No Fee', 'Deck', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Laundry In Unit', 'High Speed Internet', 'Dishwasher', 'Hardwood Floors', 'Bicycle Room', 'City View', 'Concierge', 'Convertible', 'Diplomats Ok', 'Garage', 'Granite Kitchen', 'Light', 'Lounge', 'Receiving Room', 'Renovated', 'Storage', 'Subway', 'Valet', 'Walk In Closet', 'Dogs Allowed', 'Cats Allowed', 'Convertible']",0.23,Murray Hill,6923,0,NaN,https://www.renthop.com/listings/east-39th-street/25g/14532465
River Terrace,1,3Flex 4 ,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Hardwood Floors', 'No Fee', 'Swimming Pool', 'Deck', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Laundry In Unit', 'High Speed Internet', 'Dishwasher', 'Hardwood Floors', 'Wheelchair Access', 'New Construction', 'Bicycle Room', 'Business Center', 'Common Outdoor Space', 'Convertible', 'Eat In Kitchen', 'Garage', 'Granite Kitchen', 'High Ceilings', 'Light', 'Lounge', 'Marble Bath', 'Nursery', 'One Month Free', 'Receiving Room', 'Renovated', 'Storage', 'Subway', 'Valet', 'Walk In Closet', 'Dogs Allowed', 'Cats Allowed', 'Convertible']",0.33,Battery Park City,6000,0,NaN,https://www.renthop.com/listings/river-terrace/8945/14381395
2nd Avenue,1,2,Manhattan,"['', 'Reduced Fee', 'Cats Allowed', 'Dogs Allowed']",0.14,East Village,3000,0,NaN,https://www.renthop.com/listings/2nd-avenue/13/14531682
West 57th Street,1,1,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Hardwood Floors', 'No Fee', 'Floorplans Available', 'Swimming Pool', 'Deck', 'Doorman', 'Elevator', 'Fitness Center', 'Terrace', 'Laundry In Building', 'Laundry In Unit', 'Green Building', 'Dishwasher', 'Hardwood Floors', 'Wheelchair Access', 'Outdoor Space', 'New Construction', 'Business Center', 'Common Outdoor Space', 'Concierge', 'Granite Kitchen', 'High Ceilings', 'Light', 'Lounge', 'Marble Bath', 'Nursery', 'Receiving Room', 'Renovated', 'Subway', 'Valet', 'Dogs Allowed', 'Cats Allowed']",0.56,Hell's Kitchen,2990,0,NaN,https://www.renthop.com/listings/west-57th-street/209/14496058
1511 Bedford Ave,1,1,Brooklyn,"['No Fee', 'Exclusive', 'Doorman', 'Elevator', 'No Fee', 'Exclusive', 'Parking Space', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Common Outdoor Space', 'Cats Allowed']",0.19,Crown Heights,2650,0,Apt 1R,https://www.renthop.com/listings/1511-bedford-ave/1r/13914040
East 39th Street,2,4Flex 5 ,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Hardwood Floors', 'No Fee', 'Deck', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Laundry In Unit', 'High Speed Internet', 'Dishwasher', 'Hardwood Floors', 'Bicycle Room', 'City View', 'Concierge', 'Convertible', 'Diplomats Ok', 'Garage', 'Granite Kitchen', 'Light', 'Lounge', 'Receiving Room', 'Renovated', 'Storage', 'Subway', 'Valet', 'Walk In Closet', 'Dogs Allowed', 'Cats Allowed', 'Convertible']",0.23,Murray Hill,6923,0,NaN,https://www.renthop.com/listings/east-39th-street/25g/14532465
Blue Slip,1,1,Brooklyn,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Hardwood Floors', 'No Fee', 'Deck', 'Dining Room', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Laundry In Unit', 'High Speed Internet', 'Dishwasher', 'Hardwood Floors', 'New Construction', 'Business Center', 'City View', 'Common Outdoor Space', 'Concierge', 'Courtyard', 'Eat In Kitchen', 'Garage', 'Granite Kitchen', 'High Ceilings', 'Live In Super', 'Lounge', 'Marble Bath', 'Microwave', 'Open Kitchen', 'Renovated', 'Skyline View', 'Stainless Steel Appliances', 'Valet', 'Walk In Closet', 'Dogs Allowed', 'Cats Allowed']",0.39,Greenpoint,2985,0,NaN,https://www.renthop.com/listings/blue-slip/15n/14521568
2nd Avenue,1,2,Manhattan,"['', 'Reduced Fee', 'Cats Allowed', 'Dogs Allowed']",0.14,East Village,3000,0,NaN,https://www.renthop.com/listings/2nd-avenue/13/14531682
W 54,2,2,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'Laundry in Unit', 'Hardwood Floors', 'No Fee', 'Floorplans Available', 'Deck', 'Doorman', 'Elevator', 'Fitness Center', 'Laundry In Building', 'Laundry In Unit', 'High Speed Internet', 'Dishwasher', 'Hardwood Floors', 'Bicycle Room', 'Business Center', 'Common Outdoor Space', 'Concierge', 'Eat In Kitchen', 'Garage', 'Granite Kitchen', 'High Ceilings', 'Light', 'Lounge', 'Marble Bath', 'Microwave', 'Receiving Room', 'Renovated', 'Storage', 'Subway', 'Walk In Closet', 'Dogs Allowed', 'Cats Allowed']",0.17,Theater District,5500,0,NaN,https://www.renthop.com/listings/w-54/39-a/14467248
52nd St. & 8th Ave,1,1,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'No Fee', 'Doorman', 'Elevator', 'Laundry In Building', 'Parking available']",0.11,Theater District,2995,850,NaN,https://www.renthop.com/listings/52nd-st-8th-ave/12/14102640
West 45th ,1,1,Manhattan,"['No Fee', 'Doorman', 'Elevator', 'No Fee', 'Doorman', 'Elevator', 'Laundry In Building', 'Cats Allowed', 'Dogs Allowed']",0.16,Hell's Kitchen,3468,0,NaN,https://www.renthop.com/listings/west-45th/1-l/14540604
1223 Atlantic Ave,1,1,Brooklyn,"['Exclusive', '']",0.12,Bedford-Stuyvesant,1999,0,Apt 2,https://www.renthop.com/listings/1223-atlantic-ave/2/14551571
Lexington Avenue,2,2,Manhattan,"['Elevator', 'Pre-War', 'Hardwood Floors', ' Elevator', 'Pre-war', 'Laundry In Building', 'Dishwasher', 'Hardwood Floors', 'Granite Kitchen', 'High Ceilings', 'Light', 'Marble Bath', 'Microwave', 'Renovated', 'Stainless Steel Appliances', 'Dogs Allowed', 'Cats Allowed']",0.14,Rose Hill,3800,0,NaN,https://www.renthop.com/listings/lexington-avenue/1s/14473529
332 Hart St,1,3,Brooklyn,"['No Fee', 'Exclusive', '', 'No Fee', 'Exclusive', 'Laundry In Building', 'Common Outdoor Space', 'Cats Allowed', 'Dogs Allowed']",0.24,Bedford-Stuyvesant,2499,0,Apt 3,https://www.renthop.com/listings/332-hart-st/3/14481644
